device_id,segment_code,start_time,end_time,activity_level
781,1,2015-02-17 14:00:00,2015-02-17 15:04:00,light
781,1,2015-02-17 15:05:00,2015-02-17 15:58:00,vigorous
781,1,2015-02-17 15:59:00,2015-02-17 16:50:00,light
781,1,2015-02-17 16:51:00,2015-02-17 17:30:00,light
781,1,2015-02-17 17:31:00,2015-02-17 18:01:00,sedentary
781,1,2015-02-17 18:02:00,2015-02-17 20:31:00,sleep
781,2,2015-02-17 20:32:00,2015-02-17 21:21:00,light
781,2,2015-02-17 21:22:00,2015-02-17 22:12:00,light
781,2,2015-02-17 22:13:00,2015-02-17 22:51:00,light
781,2,2015-02-17 22:52:00,2015-02-17 23:23:00,light
781,2,2015-02-17 23:24:00,2015-02-17 23:53:00,moderate
781,2,2015-02-17 23:54:00,2015-02-18 00:23:00,sedentary
781,2,2015-02-18 00:24:00,2015-02-18 00:59:00,sedentary
781,2,2015-02-18 01:00:00,2015-02-18 06:01:00,sleep
781,3,2015-02-18 06:02:00,2015-02-18 08:39:00,light
781,3,2015-02-18 08:40:00,2015-02-18 10:03:00,light
781,3,2015-02-18 10:04:00,2015-02-18 11:35:00,light
781,3,2015-02-18 11:36:00,2015-02-18 12:05:00,moderate
781,3,2015-02-18 12:06:00,2015-02-18 14:12:00,light
781,3,2015-02-18 14:13:00,2015-02-18 15:08:00,light
781,3,2015-02-18 15:09:00,2015-02-18 15:47:00,moderate
781,3,2015-02-18 15:48:00,2015-02-18 18:26:00,light
781,3,2015-02-18 18:27:00,2015-02-18 23:33:00,light
781,3,2015-02-18 23:34:00,2015-02-18 23:48:00,sedentary
781,3,2015-02-18 23:49:00,2015-02-19 06:01:00,sleep
781,4,2015-02-19 06:02:00,2015-02-19 06:55:00,light
781,4,2015-02-19 06:56:00,2015-02-19 07:56:00,light
781,4,2015-02-19 07:57:00,2015-02-19 08:42:00,light
781,4,2015-02-19 08:43:00,2015-02-19 09:34:00,light
781,4,2015-02-19 09:35:00,2015-02-19 10:56:00,light
781,4,2015-02-19 10:57:00,2015-02-19 11:36:00,light
781,4,2015-02-19 11:37:00,2015-02-19 12:07:00,moderate
781,4,2015-02-19 12:08:00,2015-02-19 12:42:00,light
781,4,2015-02-19 12:43:00,2015-02-19 14:48:00,light
781,4,2015-02-19 14:49:00,2015-02-19 15:23:00,sedentary
781,4,2015-02-19 15:24:00,2015-02-19 16:46:00,light
781,4,2015-02-19 16:47:00,2015-02-19 17:44:00,light
781,4,2015-02-19 17:45:00,2015-02-19 18:21:00,moderate
781,4,2015-02-19 18:22:00,2015-02-19 19:08:00,light
781,4,2015-02-19 19:09:00,2015-02-19 19:40:00,light
781,4,2015-02-19 19:41:00,2015-02-19 20:11:00,light
781,4,2015-02-19 20:12:00,2015-02-19 20:43:00,vigorous
781,4,2015-02-19 20:44:00,2015-02-19 21:33:00,moderate
781,4,2015-02-19 21:34:00,2015-02-19 22:17:00,light
781,4,2015-02-19 22:18:00,2015-02-19 23:10:00,light
781,4,2015-02-19 23:11:00,2015-02-20 00:02:00,sedentary
781,4,2015-02-20 00:03:00,2015-02-20 10:29:00,sleep
781,5,2015-02-20 10:30:00,2015-02-20 11:10:00,moderate
781,5,2015-02-20 11:11:00,2015-02-20 13:12:00,light
781,5,2015-02-20 13:13:00,2015-02-20 13:42:00,light
781,5,2015-02-20 13:43:00,2015-02-20 14:50:00,sedentary
781,5,2015-02-20 14:51:00,2015-02-20 17:46:00,light
781,5,2015-02-20 17:47:00,2015-02-20 18:38:00,moderate
781,5,2015-02-20 18:39:00,2015-02-20 20:10:00,light
781,5,2015-02-20 20:11:00,2015-02-20 20:48:00,light
781,5,2015-02-20 20:49:00,2015-02-20 22:12:00,light
781,5,2015-02-20 22:13:00,2015-02-20 22:53:00,moderate
781,5,2015-02-20 22:54:00,2015-02-21 00:24:00,light
781,5,2015-02-21 00:25:00,2015-02-21 01:13:00,light
781,5,2015-02-21 01:14:00,2015-02-21 01:17:00,sedentary
781,5,2015-02-21 01:18:00,2015-02-21 06:21:00,sleep
781,6,2015-02-21 06:22:00,2015-02-21 07:18:00,sedentary
781,6,2015-02-21 07:19:00,2015-02-21 10:29:00,sleep
781,7,2015-02-21 10:30:00,2015-02-21 11:22:00,light
781,7,2015-02-21 11:23:00,2015-02-21 11:52:00,light
781,7,2015-02-21 11:53:00,2015-02-21 12:29:00,vigorous
781,7,2015-02-21 12:30:00,2015-02-21 13:01:00,light
781,7,2015-02-21 13:02:00,2015-02-21 14:03:00,light
781,7,2015-02-21 14:04:00,2015-02-21 14:45:00,moderate
781,7,2015-02-21 14:46:00,2015-02-21 17:29:00,light
781,7,2015-02-21 17:30:00,2015-02-21 18:25:00,moderate
781,7,2015-02-21 18:26:00,2015-02-21 18:55:00,light
781,7,2015-02-21 18:56:00,2015-02-21 20:03:00,moderate
781,7,2015-02-21 20:04:00,2015-02-21 21:28:00,light
781,7,2015-02-21 21:29:00,2015-02-21 22:22:00,moderate
781,7,2015-02-21 22:23:00,2015-02-21 23:43:00,light
781,7,2015-02-21 23:44:00,2015-02-22 00:29:00,sedentary
781,7,2015-02-22 00:30:00,2015-02-22 06:01:00,sleep
