device_id,segment_code,start_time,end_time,activity_level
804,1,2015-02-08 14:00:00,2015-02-08 14:29:00,light
804,1,2015-02-08 14:30:00,2015-02-08 15:00:00,light
804,1,2015-02-08 15:01:00,2015-02-08 15:38:00,light
804,1,2015-02-08 15:39:00,2015-02-08 17:32:00,light
804,1,2015-02-08 17:33:00,2015-02-08 18:29:00,moderate
804,1,2015-02-08 18:30:00,2015-02-08 18:59:00,sedentary
804,1,2015-02-08 19:00:00,2015-02-08 20:40:00,moderate
804,1,2015-02-08 20:41:00,2015-02-08 21:25:00,sedentary
804,1,2015-02-08 21:26:00,2015-02-08 22:05:00,light
804,1,2015-02-08 22:06:00,2015-02-08 22:12:00,light
804,1,2015-02-08 22:13:00,2015-02-09 06:05:00,sleep
804,2,2015-02-09 06:06:00,2015-02-09 07:01:00,light
804,2,2015-02-09 07:02:00,2015-02-09 09:37:00,light
804,2,2015-02-09 09:38:00,2015-02-09 10:07:00,moderate
804,2,2015-02-09 10:08:00,2015-02-09 11:40:00,light
804,2,2015-02-09 11:41:00,2015-02-09 12:10:00,moderate
804,2,2015-02-09 12:11:00,2015-02-09 13:06:00,light
804,2,2015-02-09 13:07:00,2015-02-09 13:40:00,light
804,2,2015-02-09 13:41:00,2015-02-09 14:46:00,light
804,2,2015-02-09 14:47:00,2015-02-09 16:45:00,light
804,2,2015-02-09 16:46:00,2015-02-09 18:30:00,sedentary
804,2,2015-02-09 18:31:00,2015-02-09 19:28:00,light
804,2,2015-02-09 19:29:00,2015-02-09 20:56:00,sedentary
804,2,2015-02-09 20:57:00,2015-02-09 21:26:00,vigorous
804,2,2015-02-09 21:27:00,2015-02-09 23:32:00,light
804,2,2015-02-09 23:33:00,2015-02-10 00:04:00,sedentary
804,2,2015-02-10 00:05:00,2015-02-10 07:43:00,sleep
804,3,2015-02-10 07:44:00,2015-02-10 10:30:00,light
804,3,2015-02-10 10:31:00,2015-02-10 11:56:00,vigorous
804,3,2015-02-10 11:57:00,2015-02-10 12:27:00,moderate
804,3,2015-02-10 12:28:00,2015-02-10 13:28:00,moderate
804,3,2015-02-10 13:29:00,2015-02-10 14:27:00,moderate
804,3,2015-02-10 14:28:00,2015-02-10 15:51:00,light
804,3,2015-02-10 15:52:00,2015-02-10 16:22:00,moderate
804,3,2015-02-10 16:23:00,2015-02-10 16:59:00,vigorous
804,3,2015-02-10 17:00:00,2015-02-10 18:12:00,vigorous
804,3,2015-02-10 18:13:00,2015-02-10 18:53:00,sedentary
804,3,2015-02-10 18:54:00,2015-02-10 19:23:00,moderate
804,3,2015-02-10 19:24:00,2015-02-10 20:15:00,light
804,3,2015-02-10 20:16:00,2015-02-10 20:40:00,sedentary
804,3,2015-02-10 20:41:00,2015-02-11 06:08:00,sleep
804,4,2015-02-11 06:09:00,2015-02-11 07:15:00,moderate
804,4,2015-02-11 07:16:00,2015-02-11 07:45:00,light
804,4,2015-02-11 07:46:00,2015-02-11 08:55:00,light
804,4,2015-02-11 08:56:00,2015-02-11 09:38:00,light
804,4,2015-02-11 09:39:00,2015-02-11 10:10:00,moderate
804,4,2015-02-11 10:11:00,2015-02-11 10:42:00,light
804,4,2015-02-11 10:43:00,2015-02-11 11:32:00,light
804,4,2015-02-11 11:33:00,2015-02-11 12:06:00,moderate
804,4,2015-02-11 12:07:00,2015-02-11 12:38:00,light
804,4,2015-02-11 12:39:00,2015-02-11 13:08:00,light
804,4,2015-02-11 13:09:00,2015-02-11 13:48:00,light
804,4,2015-02-11 13:49:00,2015-02-11 14:20:00,moderate
804,4,2015-02-11 14:21:00,2015-02-11 15:34:00,light
804,4,2015-02-11 15:35:00,2015-02-11 16:08:00,light
804,4,2015-02-11 16:09:00,2015-02-11 17:22:00,light
804,4,2015-02-11 17:23:00,2015-02-11 17:52:00,light
804,4,2015-02-11 17:53:00,2015-02-11 19:16:00,sedentary
804,4,2015-02-11 19:17:00,2015-02-11 19:53:00,light
804,4,2015-02-11 19:54:00,2015-02-11 20:38:00,light
804,4,2015-02-11 20:39:00,2015-02-11 21:08:00,moderate
804,4,2015-02-11 21:09:00,2015-02-11 22:11:00,sedentary
804,4,2015-02-11 22:12:00,2015-02-12 06:09:00,sleep
804,5,2015-02-12 06:10:00,2015-02-12 07:13:00,light
804,5,2015-02-12 07:14:00,2015-02-12 07:52:00,light
804,5,2015-02-12 07:53:00,2015-02-12 09:37:00,light
804,5,2015-02-12 09:38:00,2015-02-12 10:07:00,moderate
804,5,2015-02-12 10:08:00,2015-02-12 10:37:00,light
804,5,2015-02-12 10:38:00,2015-02-12 11:32:00,light
804,5,2015-02-12 11:33:00,2015-02-12 12:06:00,moderate
804,5,2015-02-12 12:07:00,2015-02-12 14:22:00,light
804,5,2015-02-12 14:23:00,2015-02-12 15:45:00,light
804,5,2015-02-12 15:46:00,2015-02-12 16:15:00,light
804,5,2015-02-12 16:16:00,2015-02-12 17:32:00,light
804,5,2015-02-12 17:33:00,2015-02-12 18:30:00,light
804,5,2015-02-12 18:31:00,2015-02-12 19:14:00,light
804,5,2015-02-12 19:15:00,2015-02-12 20:22:00,light
804,5,2015-02-12 20:23:00,2015-02-12 23:38:00,light
804,5,2015-02-12 23:39:00,2015-02-13 00:22:00,moderate
804,5,2015-02-13 00:23:00,2015-02-13 00:28:00,sedentary
804,5,2015-02-13 00:29:00,2015-02-13 10:04:00,sleep
804,6,2015-02-13 10:05:00,2015-02-13 11:09:00,light
804,6,2015-02-13 11:10:00,2015-02-13 11:39:00,moderate
804,6,2015-02-13 11:40:00,2015-02-13 12:27:00,light
804,6,2015-02-13 12:28:00,2015-02-13 13:05:00,moderate
804,6,2015-02-13 13:06:00,2015-02-13 13:45:00,light
804,6,2015-02-13 13:46:00,2015-02-13 14:36:00,light
804,6,2015-02-13 14:37:00,2015-02-13 15:06:00,vigorous
804,6,2015-02-13 15:07:00,2015-02-13 16:14:00,light
804,6,2015-02-13 16:15:00,2015-02-13 17:41:00,moderate
804,6,2015-02-13 17:42:00,2015-02-13 18:44:00,vigorous
804,6,2015-02-13 18:45:00,2015-02-13 19:34:00,vigorous
804,6,2015-02-13 19:35:00,2015-02-13 20:05:00,light
804,6,2015-02-13 20:06:00,2015-02-13 20:37:00,light
804,6,2015-02-13 20:38:00,2015-02-13 21:20:00,vigorous
804,6,2015-02-13 21:21:00,2015-02-13 22:05:00,vigorous
804,6,2015-02-13 22:06:00,2015-02-13 22:36:00,moderate
804,6,2015-02-13 22:37:00,2015-02-13 23:31:00,light
804,6,2015-02-13 23:32:00,2015-02-14 02:20:00,sedentary
804,6,2015-02-14 02:21:00,2015-02-14 09:38:00,sleep
804,7,2015-02-14 09:39:00,2015-02-14 10:36:00,light
804,7,2015-02-14 10:37:00,2015-02-14 11:21:00,light
804,7,2015-02-14 11:22:00,2015-02-14 12:32:00,light
804,7,2015-02-14 12:33:00,2015-02-14 15:18:00,light
804,7,2015-02-14 15:19:00,2015-02-14 15:55:00,light
804,7,2015-02-14 15:56:00,2015-02-14 16:47:00,light
