device_id,segment_code,start_time,end_time,activity_level
770,1,2015-02-08 14:00:00,2015-02-08 14:47:00,light
770,1,2015-02-08 14:48:00,2015-02-08 16:09:00,light
770,1,2015-02-08 16:10:00,2015-02-08 19:31:00,light
770,1,2015-02-08 19:32:00,2015-02-08 20:08:00,light
770,1,2015-02-08 20:09:00,2015-02-08 20:44:00,moderate
770,1,2015-02-08 20:45:00,2015-02-08 22:34:00,sedentary
770,1,2015-02-08 22:35:00,2015-02-09 05:55:00,sleep
770,2,2015-02-09 05:56:00,2015-02-09 06:26:00,moderate
770,2,2015-02-09 06:27:00,2015-02-09 07:08:00,sedentary
770,2,2015-02-09 07:09:00,2015-02-09 09:36:00,light
770,2,2015-02-09 09:37:00,2015-02-09 10:08:00,light
770,2,2015-02-09 10:09:00,2015-02-09 11:42:00,light
770,2,2015-02-09 11:43:00,2015-02-09 12:39:00,light
770,2,2015-02-09 12:40:00,2015-02-09 13:42:00,vigorous
770,2,2015-02-09 13:43:00,2015-02-09 14:29:00,light
770,2,2015-02-09 14:30:00,2015-02-09 15:36:00,light
770,2,2015-02-09 15:37:00,2015-02-09 16:17:00,vigorous
770,2,2015-02-09 16:18:00,2015-02-09 16:50:00,vigorous
770,2,2015-02-09 16:51:00,2015-02-09 17:36:00,moderate
770,2,2015-02-09 17:37:00,2015-02-09 18:41:00,moderate
770,2,2015-02-09 18:42:00,2015-02-09 20:38:00,light
770,2,2015-02-09 20:39:00,2015-02-09 21:42:00,moderate
770,2,2015-02-09 21:43:00,2015-02-09 22:28:00,sedentary
770,2,2015-02-09 22:29:00,2015-02-09 23:00:00,light
770,2,2015-02-09 23:01:00,2015-02-09 23:30:00,sedentary
770,2,2015-02-09 23:31:00,2015-02-10 09:15:00,sleep
770,3,2015-02-10 09:16:00,2015-02-10 15:03:00,light
770,3,2015-02-10 15:04:00,2015-02-10 15:36:00,light
770,3,2015-02-10 15:37:00,2015-02-10 17:53:00,light
770,3,2015-02-10 17:54:00,2015-02-10 18:32:00,light
770,3,2015-02-10 18:33:00,2015-02-10 19:09:00,light
770,3,2015-02-10 19:10:00,2015-02-10 19:39:00,moderate
770,3,2015-02-10 19:40:00,2015-02-10 21:29:00,light
770,3,2015-02-10 21:30:00,2015-02-10 21:43:00,sedentary
770,3,2015-02-10 21:44:00,2015-02-11 05:49:00,sleep
770,4,2015-02-11 05:50:00,2015-02-11 06:20:00,moderate
770,4,2015-02-11 06:21:00,2015-02-11 06:52:00,light
770,4,2015-02-11 06:53:00,2015-02-11 09:37:00,light
770,4,2015-02-11 09:38:00,2015-02-11 11:33:00,light
770,4,2015-02-11 11:34:00,2015-02-11 12:03:00,light
770,4,2015-02-11 12:04:00,2015-02-11 14:35:00,light
770,4,2015-02-11 14:36:00,2015-02-11 15:24:00,moderate
770,4,2015-02-11 15:25:00,2015-02-11 16:03:00,sedentary
770,4,2015-02-11 16:04:00,2015-02-11 17:09:00,light
770,4,2015-02-11 17:10:00,2015-02-11 17:56:00,moderate
770,4,2015-02-11 17:57:00,2015-02-11 18:30:00,light
770,4,2015-02-11 18:31:00,2015-02-11 19:04:00,moderate
770,4,2015-02-11 19:05:00,2015-02-11 20:07:00,light
770,4,2015-02-11 20:08:00,2015-02-11 20:56:00,sedentary
770,4,2015-02-11 20:57:00,2015-02-11 21:26:00,sedentary
770,4,2015-02-11 21:27:00,2015-02-11 21:49:00,sedentary
770,4,2015-02-11 21:50:00,2015-02-12 05:51:00,sleep
770,5,2015-02-12 05:52:00,2015-02-12 14:16:00,light
770,5,2015-02-12 14:17:00,2015-02-12 16:19:00,vigorous
770,5,2015-02-12 16:20:00,2015-02-12 18:07:00,light
770,5,2015-02-12 18:08:00,2015-02-12 18:37:00,vigorous
770,5,2015-02-12 18:38:00,2015-02-12 19:44:00,light
770,5,2015-02-12 19:45:00,2015-02-12 20:54:00,vigorous
770,5,2015-02-12 20:55:00,2015-02-12 21:25:00,moderate
770,5,2015-02-12 21:26:00,2015-02-12 23:34:00,light
770,5,2015-02-12 23:35:00,2015-02-12 23:43:00,sedentary
770,5,2015-02-12 23:44:00,2015-02-13 09:33:00,sleep
770,6,2015-02-13 09:34:00,2015-02-13 11:11:00,light
770,6,2015-02-13 11:12:00,2015-02-13 11:46:00,vigorous
770,6,2015-02-13 11:47:00,2015-02-13 15:16:00,light
770,6,2015-02-13 15:17:00,2015-02-13 16:38:00,light
770,6,2015-02-13 16:39:00,2015-02-13 18:13:00,moderate
770,6,2015-02-13 18:14:00,2015-02-13 18:44:00,light
770,6,2015-02-13 18:45:00,2015-02-13 19:14:00,vigorous
770,6,2015-02-13 19:15:00,2015-02-13 19:54:00,light
770,6,2015-02-13 19:55:00,2015-02-13 21:06:00,light
770,6,2015-02-13 21:07:00,2015-02-13 21:56:00,light
770,6,2015-02-13 21:57:00,2015-02-13 23:29:00,light
770,6,2015-02-13 23:30:00,2015-02-14 00:54:00,sedentary
770,6,2015-02-14 00:55:00,2015-02-14 08:37:00,sleep
770,7,2015-02-14 08:38:00,2015-02-14 11:56:00,light
770,7,2015-02-14 11:57:00,2015-02-14 14:09:00,light
770,7,2015-02-14 14:10:00,2015-02-14 16:28:00,light
770,7,2015-02-14 16:29:00,2015-02-14 17:17:00,vigorous
770,7,2015-02-14 17:18:00,2015-02-14 17:49:00,vigorous
770,7,2015-02-14 17:50:00,2015-02-14 18:20:00,vigorous
770,7,2015-02-14 18:21:00,2015-02-14 19:08:00,vigorous
770,7,2015-02-14 19:09:00,2015-02-14 20:38:00,light
770,7,2015-02-14 20:39:00,2015-02-14 22:59:00,sedentary
770,7,2015-02-14 23:00:00,2015-02-15 05:50:00,sleep
