device_id,segment_code,start_time,end_time,activity_level
957,1,2015-02-12 14:00:00,2015-02-12 14:33:00,sedentary
957,1,2015-02-12 14:34:00,2015-02-12 15:03:00,moderate
957,1,2015-02-12 15:04:00,2015-02-12 15:50:00,light
957,1,2015-02-12 15:51:00,2015-02-12 16:21:00,moderate
957,1,2015-02-12 16:22:00,2015-02-12 16:55:00,light
957,1,2015-02-12 16:56:00,2015-02-12 19:03:00,light
957,1,2015-02-12 19:04:00,2015-02-12 19:55:00,moderate
957,1,2015-02-12 19:56:00,2015-02-12 20:00:00,sedentary
957,1,2015-02-12 20:01:00,2015-02-13 04:22:00,sleep
957,2,2015-02-13 04:23:00,2015-02-13 05:24:00,light
957,2,2015-02-13 05:25:00,2015-02-13 05:54:00,light
957,2,2015-02-13 05:55:00,2015-02-13 07:37:00,light
957,2,2015-02-13 07:38:00,2015-02-13 08:07:00,moderate
957,2,2015-02-13 08:08:00,2015-02-13 09:10:00,light
957,2,2015-02-13 09:11:00,2015-02-13 09:48:00,moderate
957,2,2015-02-13 09:49:00,2015-02-13 10:18:00,sedentary
957,2,2015-02-13 10:19:00,2015-02-13 12:00:00,light
957,2,2015-02-13 12:01:00,2015-02-13 13:06:00,moderate
957,2,2015-02-13 13:07:00,2015-02-13 13:45:00,light
957,2,2015-02-13 13:46:00,2015-02-13 15:15:00,light
957,2,2015-02-13 15:16:00,2015-02-13 16:04:00,sedentary
957,2,2015-02-13 16:05:00,2015-02-13 16:36:00,moderate
957,2,2015-02-13 16:37:00,2015-02-13 19:32:00,light
957,2,2015-02-13 19:33:00,2015-02-13 19:36:00,sedentary
957,2,2015-02-13 19:37:00,2015-02-14 02:22:00,sleep
957,3,2015-02-14 02:23:00,2015-02-14 02:52:00,light
957,3,2015-02-14 02:53:00,2015-02-14 04:16:00,sedentary
957,3,2015-02-14 04:17:00,2015-02-14 04:46:00,moderate
957,3,2015-02-14 04:47:00,2015-02-14 06:21:00,sedentary
957,3,2015-02-14 06:22:00,2015-02-14 08:01:00,light
957,3,2015-02-14 08:02:00,2015-02-14 08:31:00,light
957,3,2015-02-14 08:32:00,2015-02-14 09:30:00,moderate
957,3,2015-02-14 09:31:00,2015-02-14 12:21:00,light
957,3,2015-02-14 12:22:00,2015-02-14 12:51:00,moderate
957,3,2015-02-14 12:52:00,2015-02-14 13:27:00,light
957,3,2015-02-14 13:28:00,2015-02-14 14:25:00,light
957,3,2015-02-14 14:26:00,2015-02-14 16:55:00,moderate
957,3,2015-02-14 16:56:00,2015-02-14 18:37:00,light
957,3,2015-02-14 18:38:00,2015-02-14 18:58:00,sedentary
957,3,2015-02-14 18:59:00,2015-02-15 01:51:00,sleep
957,4,2015-02-15 01:52:00,2015-02-15 03:00:00,moderate
957,4,2015-02-15 03:01:00,2015-02-15 04:16:00,light
957,4,2015-02-15 04:17:00,2015-02-15 06:36:00,light
957,4,2015-02-15 06:37:00,2015-02-15 07:06:00,moderate
957,4,2015-02-15 07:07:00,2015-02-15 08:30:00,light
957,4,2015-02-15 08:31:00,2015-02-15 09:02:00,light
957,4,2015-02-15 09:03:00,2015-02-15 10:26:00,light
957,4,2015-02-15 10:27:00,2015-02-15 11:24:00,light
