device_id,segment_code,start_time,end_time,activity_level
949,1,2015-02-23 14:00:00,2015-02-23 14:38:00,light
949,1,2015-02-23 14:39:00,2015-02-23 15:44:00,sedentary
949,1,2015-02-23 15:45:00,2015-02-23 17:11:00,light
949,1,2015-02-23 17:12:00,2015-02-23 18:03:00,light
949,1,2015-02-23 18:04:00,2015-02-23 18:58:00,light
949,1,2015-02-23 18:59:00,2015-02-23 19:43:00,moderate
949,1,2015-02-23 19:44:00,2015-02-23 20:34:00,light
949,1,2015-02-23 20:35:00,2015-02-23 21:13:00,moderate
949,1,2015-02-23 21:14:00,2015-02-23 22:01:00,light
949,1,2015-02-23 22:02:00,2015-02-23 22:34:00,sedentary
949,1,2015-02-23 22:35:00,2015-02-24 06:21:00,sleep
